,0
0,4565794031
1,4565661543
2,4565620969
3,4565275646
4,4565068361
5,4565022987
6,4564935376
7,4564253937
8,4564232286
9,4564109030
10,4564076746
11,4564043635
12,4563935403
13,4563649197
14,4563549420
15,4563378829
16,4563361000
17,4563258880
18,4563171037
19,4562188697
20,4562230237
21,4562115245
22,4562037112
23,4561939384
24,4560604064
25,4560504496
26,4560435034
27,4559949300
28,4559859573
29,4559783794
30,4559676239
31,4557678600
32,4557416709
33,4557400140
34,4557304623
35,4555179371
36,4555192572
37,4555077312
38,4555142687
39,4552654856
40,4552429865
41,4552434991
42,4552349992
43,4552353578
44,4552208567
45,4550624122
46,4550468777
47,4550522224
48,4550435531
49,4550319430
50,4550315259
51,4548742542
52,4548577222
53,4548509523
54,4548531549
55,4548237121
56,4548005697
57,4547899751
58,4547910551
59,4547775309
60,4546987827
61,4547050040
62,4546902480
63,4546574326
64,4546435691
65,4545768232
66,4545729667
67,4545751350
68,4545575532
69,4545527986
70,4545491036
71,4545086240
72,4545047734
73,4543632987
74,4543465525
75,4543426982
76,4541633303
77,4541518259
78,4541532050
79,4541396647
80,4539571663
81,4539374106
82,4539333989
83,4539206660
84,4539211064
85,4539066759
86,4536880497
87,4535318017
88,4535310846
89,4535241837
90,4535135341
91,4534939841
92,4534915575
93,4534629293
94,4534653502
95,4534499883
96,4532739844
97,4532663450
98,4532606684
99,4532620926
100,4568346778
101,4568281434
102,4567881522
103,4567311291
104,4567176770
105,4567211850
106,4566973406
107,4567001212
108,4566859922
109,4558517512
110,4558536318
111,4558551059
112,4558399636
113,4558367642
114,4558346105
115,4558324059
116,4553889718
117,4550546189
118,4550461170
119,4550445053
120,4549550570
121,4547481826
122,4547437455
123,4547454203
124,4547430970
125,4542301502
126,4542350231
127,4542280317
128,4542199340
129,4542177610
130,4542205515
131,4542182954
132,4542230055
133,4535826301
134,4534122447
135,4534071845
136,4534140275
137,4534029311
138,4533942775
139,4532750831
140,4531673565
141,4531760708
142,4531479250
143,4531333488
144,4531270900
145,4531245299
146,4531161897
147,4529123324
148,4529091329
149,4529056677
150,4529056160
151,4529005341
152,4529003868
153,4527133701
154,4527027292
155,4526473532
156,4526365851
157,4526403640
158,4526403043
159,4526412454
160,4526431295
161,4526400557
162,4526349261
163,4526352610
164,4526043432
165,4525666588
166,4524150189
167,4523864323
168,4523598796
169,4523548368
170,4523513052
171,4523427658
172,4523299832
173,4523346220
174,4523340555
175,4523177770
176,4523253852
177,4521911073
178,4520489619
179,4520498400
180,4520525932
181,4520553329
182,4520570273
183,4520007811
184,4519929076
185,4519933469
186,4519797695
187,4519791765
188,4519752652
189,4519599374
190,4519564472
191,4519519337
192,4519373542
193,4516655022
194,4516633211
195,4516538667
196,4516552557
197,4516481686
198,4516427980
199,4515157578
200,4556530215
201,4556387414
202,4556404578
203,4556090339
204,4556013046
205,4555910249
206,4555040646
207,4554885197
208,4554860836
209,4554282870
210,4554270833
211,4554220361
212,4554240107
213,4512259167
214,4511211405
215,4511145626
216,4510739250
217,4510716767
218,4509145012
219,4509103446
220,4509091675
221,4507881907
222,4507837402
223,4507812373
224,4507322022
225,4507226430
226,4506998968
227,4506961948
228,4506706814
229,4506387740
230,4506390789
231,4506284766
232,4506000002
233,4505887189
234,4505950404
235,4505837586
236,4505815044
237,4505232233
238,4502074907
239,4501976371
240,4501938467
241,4501913064
242,4501391052
243,4501256516
244,4500684172
245,4500648101
246,4500650028
247,4500369809
248,4499936497
249,4499782890
250,4499428746
251,4499424433
252,4499298996
253,4499107959
254,4499134019
255,4499061630
256,4499007474
257,4498576515
258,4498650884
259,4498495503
260,4498444826
261,4498335719
262,4497851905
263,4497708717
264,4497743771
265,4497603620
266,4497549451
267,4497506319
268,4497482417
269,4497284824
270,4497271304
271,4497257483
272,4497175643
273,4497174288
274,4497182260
275,4497158620
276,4497135932
277,4492163338
278,4492078769
279,4492005442
280,4491156368
281,4491182302
282,4491057829
283,4491032647
284,4490946540
285,4490909903
286,4490867444
287,4490812711
288,4490780174
289,4490541930
290,4490423331
291,4490277658
292,4490261473
293,4490052887
294,4488990904
295,4488767286
296,4488614801
297,4488388392
298,4488331803
299,4488223878
300,4568391548
301,4568353441
302,4568186109
303,4567937819
304,4567654037
305,4567539623
306,4567496250
307,4567540305
308,4566702416
309,4566610417
310,4565556429
311,4565540933
312,4565303489
313,4564977050
